Availability 30;Availability 60;Availability 90;Availability 365;Accommodates;Bathrooms;Bedrooms;Beds;Price;Cleaning Fee;Guests Included;Neighbourhood Cleansed_mean_encoded;Neighbourhood Group Cleansed_mean_encoded;Room Type_mean_encoded
3;9;16;176;4;2.0;1.0;2.0;98.0;0.0;2;82.51466666666667;72.77179221548025;87.29660587639312
8;8;8;46;2;2.0;1.0;2.0;25.0;0.0;1;78.90445859872611;72.77179221548025;34.25513598121698
9;23;47;208;5;1.0;2.0;2.0;75.0;30.0;2;67.61974944731024;72.77179221548025;87.29660587639312
0;0;6;261;2;3.0;1.0;1.0;25.0;15.0;1;78.90445859872611;72.77179221548025;34.25513598121698
0;4;34;309;2;2.0;1.0;1.0;17.0;15.0;1;78.90445859872611;72.77179221548025;34.25513598121698
9;11;31;305;4;1.0;1.0;2.0;52.0;20.0;2;60.342919153553986;72.77179221548025;87.29660587639312
2;28;58;330;1;1.0;1.0;1.0;24.0;0.0;1;56.857142857142854;57.39890710382514;34.25513598121698
15;28;55;330;4;1.0;1.0;3.0;90.0;30.0;1;82.51466666666667;72.77179221548025;87.29660587639312
30;60;90;365;2;2.0;1.0;1.0;70.0;0.0;1;37.964285714285715;70.86238532110092;34.25513598121698
3;33;63;338;1;1.0;1.0;1.0;19.0;0.0;1;48.46524064171123;85.65113636363637;34.25513598121698
0;19;29;295;4;1.0;1.0;2.0;75.0;30.0;2;78.0656192236599;72.77179221548025;87.29660587639312
0;5;21;288;4;1.0;1.0;2.0;85.0;40.0;2;82.51466666666667;72.77179221548025;87.29660587639312
9;9;14;289;1;2.0;1.0;1.0;19.0;0.0;1;48.46524064171123;85.65113636363637;34.25513598121698
5;18;43;313;2;1.0;1.0;1.0;25.0;10.0;1;67.61974944731024;72.77179221548025;34.25513598121698
0;0;0;113;4;1.0;2.0;2.0;60.0;20.0;1;84.93013100436681;85.65113636363637;87.29660587639312
0;0;0;0;2;1.0;1.0;1.0;40.0;0.0;1;72.94174757281553;71.9791013584117;34.25513598121698
6;15;22;294;2;1.0;1.0;1.0;65.0;30.0;1;67.61974944731024;72.77179221548025;87.29660587639312
6;6;6;6;6;2.0;2.0;2.0;72.0;25.0;2;78.0656192236599;72.77179221548025;87.29660587639312
3;3;3;92;2;1.0;1.0;2.0;50.0;20.0;2;60.342919153553986;72.77179221548025;87.29660587639312
12;42;72;347;1;1.0;1.0;1.0;16.0;0.0;1;50.0;39.63456090651558;34.25513598121698
1;3;5;17;9;1.0;4.0;4.0;127.0;13.0;2;78.90445859872611;72.77179221548025;87.29660587639312
7;37;67;157;2;1.0;1.0;1.0;115.0;0.0;1;78.0656192236599;72.77179221548025;87.29660587639312
0;0;0;0;2;1.0;1.0;1.0;19.0;0.0;1;60.342919153553986;72.77179221548025;34.25513598121698
2;7;17;233;4;1.0;1.0;3.0;50.0;0.0;2;85.58936170212766;72.77179221548025;87.29660587639312
12;31;46;321;4;1.0;1.0;2.0;65.0;25.0;2;78.90445859872611;72.77179221548025;87.29660587639312
3;8;11;235;4;1.0;1.0;1.0;75.0;45.0;2;85.58936170212766;72.77179221548025;87.29660587639312
0;0;0;0;1;1.0;1.0;1.0;10.0;0.0;1;60.342919153553986;72.77179221548025;34.25513598121698
0;0;0;17;5;1.5;3.0;3.0;110.0;36.0;1;67.61974944731024;72.77179221548025;87.29660587639312
0;0;6;281;1;0.0;1.0;1.0;29.0;0.0;1;65.95817490494296;66.16144578313254;34.25513598121698
7;20;41;41;4;1.0;2.0;4.0;70.0;0.0;4;45.717241379310344;46.363751584283904;87.29660587639312
22;52;80;355;6;1.0;2.0;4.0;50.0;30.0;2;82.51466666666667;72.77179221548025;87.29660587639312
10;30;53;324;4;1.0;1.0;1.0;81.0;32.0;2;60.342919153553986;72.77179221548025;87.29660587639312
